N/A
A & M Cons High School in College Station, TX
A C Jones High School in Beeville, TX
A E Butler Int in Quinlan, TX
A Maceo Smith New Tech High School in Dallas, TX
A W Brown - F L A Early Childhood Campus in Dallas, TX
A. E. Phillips Laboratory School in Ruston, LA
A+ Academy in Dallas, TX
A+ Unlimited Potential in Houston, TX
A+Up University in Houston, TX
Aaep (Academic Alternative Education Program) in Dayton, TX
Ab Harrison Int in Wylie, TX
Abbeville High School in Abbeville, LA
Abbott School in Abbott, TX
Abell J H in Midland, TX
Aberdeen High School in Aberdeen, MS
Abernathy Daep in Plainview, TX
Abernathy High School in Abernathy, TX
Abernathy J H in Abernathy, TX
Abilene Behavioral Health in Abilene, TX
Abilene Elem in Valley Center, KS
Abilene High School in Abilene, KS
Abilene High School in Abilene, TX
Able Charter School 6Th-8Th in Oklahoma City, OK
Able Charter School 9Th-12Th in Oklahoma City, OK
About Face Jjaep in El Paso, TX
Abq Charter Academy in Albuquerque, NM
Abq School Of Excellence in Albuquerque, NM
Abq Sign Language Academy in Albuquerque, NM
Abraham Lincoln High School in Denver, CO
Academia Ana Marie Sandoval in Denver, CO
Academic Behavior School East in Houston, TX
Academic Behavior School West in Houston, TX
Academic Recovery Ombudsman in Shreveport, LA
Academie Lafayette-Cherry in Kansas City, MO
Academie Lafayette-Oak in Kansas City, MO
Academy 360 in Denver, CO
Academy At Carrie F Thomas in North Richland Hills, TX
Academy At Larragoite in Santa Fe, NM
Academy Calvert K-8 Online School in Colorado Springs, CO
Academy Charter School in Castle Rock, CO
Academy Del Sol Alt. in Alamogordo, NM
Academy For Advanced And Creative Learning in Colorado Springs, CO
Academy For Integrated Arts in Kansas City, MO
Academy For Tech & Class in Santa Fe, NM
Academy For Technology Engineering Math & Science in Abilene, TX
Academy High School in Little River, TX
Academy High School in Thornton, CO
Academy Int in Little River, TX
Academy J H in Little River, TX
Academy Jjaep in Little River, TX
Academy Of Accelerated Learning in Houston, TX
Academy Of Careers And Technologies Charter School in San Antonio, TX
Academy Of Charter Schools in Westminster, CO
